file_name,file_type,owner_name,original_path,new_path,file_size,file_size_mb,created_date,modified_date,keywords,summary,moved_at,is_duplicate
sachin_data_analysis.csv,.csv,sachin,C:\Users\nitin\file_organizer\test_text_analysis\sachin_data_analysis.csv,C:\Users\nitin\file_organizer\output\csvfiles\sachin\sachin_data_analysis.csv,158,0.0,2025-09-11 17:27:31,2025-09-11 17:27:31,"engineering, name, age, salary, department, john, 50000, jane, 60000, marketing","name,age,salary,department John,25,50000,Engineering Jane,30,60000,Marketing Bob,35,70000,Engineering Alice,28,55000,Sales",2025-09-12 00:27:31,False
rohith_ml_notes.txt,.txt,rohith,C:\Users\nitin\file_organizer\test_text_analysis\rohith_ml_notes.txt,C:\Users\nitin\file_organizer\output\txtfiles\rohith\rohith_ml_notes.txt,614,0.0,2025-09-11 17:27:31,2025-09-11 17:27:31,"learning, machine, neural, networks, data, artificial, intelligence, document, discusses, fundamentals","Machine Learning and Artificial Intelligence This document discusses the fundamentals of machine learning, including supervised learning, unsupervised learning, and reinforcement learning These techniques are essential for data science and predictive analytics in modern applications",2025-09-12 00:27:31,False
nitin_project_summary.txt,.txt,nitin,C:\Users\nitin\file_organizer\test_text_analysis\nitin_project_summary.txt,C:\Users\nitin\file_organizer\output\txtfiles\nitin\nitin_project_summary.txt,568,0.0,2025-09-11 17:27:31,2025-09-11 17:27:31,"project, web, application, django, summary, development, involves, building, modern, using","Project Summary: Web Development This project involves building a modern web application using Django framework The project follows best practices for security, performance, and maintainability",2025-09-12 00:27:31,False
himani_photo.png,.png,himani,C:\Users\nitin\file_organizer\test_text_analysis\himani_photo.png,C:\Users\nitin\file_organizer\output\pngfiles\himani\himani_photo.png,25,0.0,2025-09-11 17:27:31,2025-09-11 17:27:31,,,2025-09-12 00:27:31,False
alex_video.mp4,.mp4,alex,C:\Users\nitin\file_organizer\test_text_analysis\alex_video.mp4,C:\Users\nitin\file_organizer\output\mp4files\alex\alex_video.mp4,25,0.0,2025-09-11 17:27:31,2025-09-11 17:27:31,,,2025-09-12 00:27:31,False
sachin_video.mp4,.mp4,sachin,C:\Users\nitin\file_organizer\test_files\sachin_video.mp4,C:\Users\nitin\file_organizer\output\mp4files\sachin\sachin_video_1.mp4,36,0.0,,,,,2025-09-11 01:08:34,False
rohith_script.py,.py,rohith,C:\Users\nitin\file_organizer\test_files\rohith_script.py,C:\Users\nitin\file_organizer\output\pyfiles\rohith\rohith_script_3.py,22,0.0,,,,,2025-09-11 01:08:34,False
rohith_photo.png,.png,rohith,C:\Users\nitin\file_organizer\test_files\rohith_photo.png,C:\Users\nitin\file_organizer\output\pngfiles\rohith\rohith_photo_2.png,36,0.0,,,,,2025-09-11 01:08:34,False
nitin_document.pdf,.pdf,nitin,C:\Users\nitin\file_organizer\test_files\nitin_document.pdf,C:\Users\nitin\file_organizer\output\pdffiles\nitin\nitin_document_1.pdf,35,0.0,,,,,2025-09-11 01:08:34,False
himani_data.csv,.csv,himani,C:\Users\nitin\file_organizer\test_files\himani_data.csv,C:\Users\nitin\file_organizer\output\csvfiles\himani\himani_data_1.csv,49,0.0,,,,,2025-09-11 01:08:34,False
sarah_slides.pptx,.pptx,sarah,C:\Users\nitin\file_organizer\final_test_input\sarah_slides.pptx,C:\Users\nitin\file_organizer\output\pptxfiles\sarah\sarah_slides_1.pptx,34,0.0,,,,,2025-09-11 01:06:24,False
sarah_script.js,.js,sarah,C:\Users\nitin\file_organizer\final_test_input\sarah_script.js,C:\Users\nitin\file_organizer\output\jsfiles\sarah\sarah_script_1.js,32,0.0,,,,,2025-09-11 01:06:24,False
sachin_website.html,.html,sachin,C:\Users\nitin\file_organizer\final_test_input\sachin_website.html,C:\Users\nitin\file_organizer\output\htmlfiles\sachin\sachin_website.html,36,0.0,,,,,2025-09-11 01:06:24,False
sachin_music.mp3,.mp3,sachin,C:\Users\nitin\file_organizer\final_test_input\sachin_music.mp3,C:\Users\nitin\file_organizer\output\mp3files\sachin\sachin_music_1.mp3,33,0.0,,,,,2025-09-11 01:06:24,False
sachin_data.csv,.csv,sachin,C:\Users\nitin\file_organizer\final_test_input\sachin_data.csv,C:\Users\nitin\file_organizer\output\csvfiles\sachin\sachin_data.csv,32,0.0,,,,,2025-09-11 01:06:24,False
sachin_config.json,.json,sachin,C:\Users\nitin\file_organizer\final_test_input\sachin_config.json,C:\Users\nitin\file_organizer\output\jsonfiles\sachin\sachin_config_1.json,35,0.0,,,,,2025-09-11 01:06:24,False
rohith_video.mp4,.mp4,rohith,C:\Users\nitin\file_organizer\final_test_input\rohith_video.mp4,C:\Users\nitin\file_organizer\output\mp4files\rohith\rohith_video.mp4,33,0.0,,,,,2025-09-11 01:06:24,False
rohith_script.py,.py,rohith,C:\Users\nitin\file_organizer\final_test_input\rohith_script.py,C:\Users\nitin\file_organizer\output\pyfiles\rohith\rohith_script_2.py,33,0.0,,,,,2025-09-11 01:06:24,False
rohith_photo.png,.png,rohith,C:\Users\nitin\file_organizer\final_test_input\rohith_photo.png,C:\Users\nitin\file_organizer\output\pngfiles\rohith\rohith_photo_1.png,33,0.0,,,,,2025-09-11 01:06:24,False
rohith_document.pdf,.pdf,rohith,C:\Users\nitin\file_organizer\final_test_input\rohith_document.pdf,C:\Users\nitin\file_organizer\output\pdffiles\rohith\rohith_document.pdf,36,0.0,,,,,2025-09-11 01:06:24,False
nitin_presentation.pptx,.pptx,nitin,C:\Users\nitin\file_organizer\final_test_input\nitin_presentation.pptx,C:\Users\nitin\file_organizer\output\pptxfiles\nitin\nitin_presentation.pptx,40,0.0,,,,,2025-09-11 01:06:24,False
nitin_database.sql,.sql,nitin,C:\Users\nitin\file_organizer\final_test_input\nitin_database.sql,C:\Users\nitin\file_organizer\output\sqlfiles\nitin\nitin_database.sql,35,0.0,,,,,2025-09-11 01:06:24,False
nitin_algorithm.cpp,.cpp,nitin,C:\Users\nitin\file_organizer\final_test_input\nitin_algorithm.cpp,C:\Users\nitin\file_organizer\output\cppfiles\nitin\nitin_algorithm_1.cpp,36,0.0,,,,,2025-09-11 01:06:24,False
himani_voice.wav,.wav,himani,C:\Users\nitin\file_organizer\final_test_input\himani_voice.wav,C:\Users\nitin\file_organizer\output\wavfiles\himani\himani_voice_1.wav,33,0.0,,,,,2025-09-11 01:06:24,False
himani_backup.zip,.zip,himani,C:\Users\nitin\file_organizer\final_test_input\himani_backup.zip,C:\Users\nitin\file_organizer\output\zipfiles\himani\himani_backup.zip,34,0.0,,,,,2025-09-11 01:06:24,False
himani_animation.gif,.gif,himani,C:\Users\nitin\file_organizer\final_test_input\himani_animation.gif,C:\Users\nitin\file_organizer\output\giffiles\himani\himani_animation_1.gif,37,0.0,,,,,2025-09-11 01:06:24,False
alex_photo.jpg,.jpg,alex,C:\Users\nitin\file_organizer\final_test_input\alex_photo.jpg,C:\Users\nitin\file_organizer\output\jpgfiles\alex\alex_photo_1.jpg,31,0.0,,,,,2025-09-11 01:06:24,False
alex_notes.txt,.txt,alex,C:\Users\nitin\file_organizer\final_test_input\alex_notes.txt,C:\Users\nitin\file_organizer\output\txtfiles\alex\alex_notes_1.txt,31,0.0,,,,,2025-09-11 01:06:24,False
